Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-06-2018 06:46,2.42373085,2.999993801,-2.282188416
06-06-2018 06:48,2.42373085,3.63638258,0
06-06-2018 06:50,2.42373085,3.664437771,0
06-06-2018 06:51,2.42373085,3.671137333,0
06-06-2018 06:53,0.126547664,4.200037479,3.287677765
06-06-2018 06:53,0.134662226,4.200033665,3.259990692
06-06-2018 06:55,0.243074998,4.234228611,3.259967804
06-06-2018 06:57,0.351750284,4.26274538,3.26011467
06-06-2018 06:59,0.460407108,4.28556776,3.260128021
06-06-2018 07:01,0.569082916,4.308430195,3.260084152
06-06-2018 07:03,0.677748978,4.333665371,3.26007843
06-06-2018 07:05,0.786418617,4.362130642,3.260128021
06-06-2018 07:07,0.895084321,4.39284277,3.26011467
06-06-2018 07:09,1.000854731,4.400020123,3.046087265
06-06-2018 07:11,1.098376751,4.399988651,2.809934616
06-06-2018 07:13,1.188555121,4.400002003,2.606603622
06-06-2018 07:15,1.272440434,4.40004015,2.430038452
06-06-2018 07:17,1.350867271,4.400037289,2.278028488
06-06-2018 07:19,1.424515963,4.399977207,2.144424438
06-06-2018 07:21,1.494036913,4.399960995,2.029672623
06-06-2018 07:23,1.559920669,4.399994373,1.925344467
06-06-2018 07:25,1.622512102,4.399974346,1.831991196
06-06-2018 07:27,1.682167292,4.399950504,1.748157501
06-06-2018 07:29,1.739120245,4.400100231,1.670754433
06-06-2018 07:31,1.793587804,4.399960995,1.597412109
06-06-2018 07:33,1.845687389,4.399997234,1.528154373
06-06-2018 07:35,1.895486116,4.399955273,1.459850311
06-06-2018 07:37,1.943042278,4.399977207,1.393090248
06-06-2018 07:39,1.988406658,4.400010586,1.329296112
06-06-2018 07:41,2.031671286,4.399991512,1.266422272
06-06-2018 07:43,2.072868347,4.4000144,1.206173897
06-06-2018 07:45,2.112103939,4.399987698,1.147951126
06-06-2018 07:47,2.149418354,4.399947643,1.091413498
06-06-2018 07:49,2.1848948,4.399995327,1.037455559
06-06-2018 07:51,2.218599796,4.399963856,0.985173225
06-06-2018 07:53,2.250583649,4.400042057,0.935080528
06-06-2018 07:55,2.280937672,4.399916172,0.886597633
06-06-2018 07:57,2.309736013,4.399937153,0.84154892
06-06-2018 07:59,2.337043047,4.400019169,0.79808712
06-06-2018 08:01,2.362962961,4.399960995,0.757154465
06-06-2018 08:03,2.387528658,4.40003252,0.717202187
06-06-2018 08:05,2.410799265,4.400057316,0.679526329
06-06-2018 08:07,2.427599907,4.400033474,0.651981354
06-06-2018 08:09,2.427602768,4.277142048,0
06-06-2018 08:11,2.427602768,4.264863491,0
