Date_Time,Voltage(V),Charge_Capacity(Ah)
05-17-2018 05:40:51.482,3.30705595,2.279511929
05-17-2018 05:42:51.479,3.28099966,2.279511929
05-17-2018 05:44:51.483,3.252782345,2.279511929
05-17-2018 05:46:51.479,3.221579075,2.279511929
05-17-2018 05:48:51.481,3.185912609,2.279511929
05-17-2018 05:50:51.481,3.144742489,2.279511929
05-17-2018 05:52:51.478,3.095036983,2.279511929
05-17-2018 05:54:51.479,3.032491207,2.279511929
05-17-2018 05:55:42.731,2.999991894,2.279511929
05-17-2018 05:57:42.883,3.665010929,2.279511929
05-17-2018 05:59:42.879,3.693328381,2.279511929
05-17-2018 06:00:42.880,3.698102474,2.279511929
05-17-2018 06:02:42.981,4.200049877,0.134235099
05-17-2018 06:03:39.685,4.200051785,0.187107727
05-17-2018 06:05:39.706,4.22867918,0.295526057
05-17-2018 06:07:39.704,4.248587132,0.40419656
05-17-2018 06:09:39.706,4.267253399,0.512863994
05-17-2018 06:11:39.705,4.287728786,0.621505082
05-17-2018 06:13:39.703,4.312287807,0.730197966
05-17-2018 06:15:39.705,4.339953899,0.838844955
05-17-2018 06:17:39.706,4.370385647,0.947522283
05-17-2018 06:19:39.707,4.400008678,1.05456233
05-17-2018 06:21:39.706,4.399977207,1.137476921
05-17-2018 06:23:39.705,4.400020123,1.223576546
05-17-2018 06:25:39.702,4.400041103,1.310205936
05-17-2018 06:27:39.707,4.400053501,1.39030242
05-17-2018 06:29:39.706,4.40000391,1.464625597
05-17-2018 06:31:39.706,4.400013447,1.534066796
05-17-2018 06:33:39.704,4.400013447,1.598979235
05-17-2018 06:35:39.704,4.400005817,1.659901738
05-17-2018 06:37:39.702,4.399953365,1.717223763
05-17-2018 06:39:39.702,4.399989605,1.771249056
05-17-2018 06:41:39.706,4.40000391,1.822232008
05-17-2018 06:43:39.703,4.400024891,1.870391011
05-17-2018 06:45:39.706,4.399959087,1.915862679
05-17-2018 06:47:39.703,4.399982929,1.958776832
05-17-2018 06:49:39.703,4.400027752,1.999243498
05-17-2018 06:51:39.706,4.399978161,2.037365437
05-17-2018 06:53:39.705,4.399960995,2.07329464
05-17-2018 06:55:39.705,4.40000391,2.107161283
05-17-2018 06:57:39.705,4.39999342,2.139087915
05-17-2018 06:59:39.708,4.400016308,2.16919589
05-17-2018 07:01:39.705,4.399968624,2.197573423
05-17-2018 07:03:39.703,4.399997234,2.224346399
05-17-2018 07:05:39.703,4.399994373,2.249606371
05-17-2018 07:07:39.704,4.400061131,2.273455858
05-17-2018 07:09:39.707,4.399970531,2.295976639
05-17-2018 07:09:45.984,4.400024891,2.297122002
05-17-2018 07:11:46.039,4.277173519,2.297122955
05-17-2018 07:13:46.038,4.264706135,2.297122955
05-17-2018 07:14:46.040,4.261452198,2.297122955
05-17-2018 07:16:46.130,3.765889645,2.297122955
05-17-2018 07:18:46.130,3.715083599,2.297122955
05-17-2018 07:20:46.128,3.670706272,2.297122955
05-17-2018 07:22:46.130,3.626502514,2.297122955
05-17-2018 07:24:46.128,3.582921505,2.297122955
05-17-2018 07:26:46.129,3.542504787,2.297122955
05-17-2018 07:28:46.130,3.505403996,2.297122955
05-17-2018 07:30:46.128,3.471047878,2.297122955
05-17-2018 07:32:46.128,3.439054012,2.297122955
05-17-2018 07:34:46.132,3.409031391,2.297122955
05-17-2018 07:36:46.132,3.380759716,2.297122955
05-17-2018 07:38:46.132,3.353955746,2.297122955
05-17-2018 07:40:46.128,3.328654766,2.297122955
05-17-2018 07:42:46.129,3.302644253,2.297122955
05-17-2018 07:44:46.128,3.275820255,2.297122955
05-17-2018 07:46:46.130,3.247838497,2.297122955
05-17-2018 07:48:46.128,3.215751171,2.297122955
05-17-2018 07:50:46.130,3.17929697,2.297122955
05-17-2018 07:52:46.132,3.137487888,2.297122955
05-17-2018 07:54:46.132,3.087156773,2.297122955
05-17-2018 07:56:46.128,3.023749828,2.297122955
05-17-2018 07:57:24.335,2.999996662,2.297122955
05-17-2018 07:59:24.487,3.666048527,2.297122955
05-17-2018 08:01:24.488,3.694521427,2.297122955
05-17-2018 08:02:24.485,3.699350834,2.297122955
05-17-2018 08:04:24.586,4.200004101,0.133059323
05-17-2018 08:05:10.127,4.200015545,0.175373822
05-17-2018 08:07:10.147,4.229944706,0.283777386
05-17-2018 08:09:10.148,4.250277996,0.392452806
05-17-2018 08:11:10.149,4.268242359,0.501107097
05-17-2018 08:13:10.146,4.288840771,0.609735131
05-17-2018 08:15:10.145,4.3134799,0.718434513
05-17-2018 08:17:10.145,4.341276646,0.82710737
05-17-2018 08:19:10.144,4.371765614,0.935786486
05-17-2018 08:21:10.150,4.400000095,1.044337511
05-17-2018 08:23:10.150,4.399968624,1.122765899
05-17-2018 08:25:10.145,4.400006771,1.193992615
05-17-2018 08:27:10.148,4.399963856,1.279441595
05-17-2018 08:29:10.144,4.3999753,1.358746648
05-17-2018 08:31:10.145,4.400009632,1.432354212
05-17-2018 08:33:10.149,4.39999342,1.500952601
05-17-2018 08:35:10.146,4.400013447,1.565197945
05-17-2018 08:37:10.145,4.400002956,1.625495672
05-17-2018 08:39:10.145,4.400005817,1.682296395
05-17-2018 08:41:10.148,4.400027752,1.735850692
05-17-2018 08:43:10.147,4.400002956,1.786408424
05-17-2018 08:45:10.145,4.399974346,1.834128737
05-17-2018 08:47:10.146,4.400030613,1.879200816
05-17-2018 08:49:10.147,4.400004864,1.921818256
05-17-2018 08:51:10.151,4.400016308,1.962107778
05-17-2018 08:53:10.150,4.400002003,2.000211954
05-17-2018 08:55:10.149,4.400027752,2.03623271
05-17-2018 08:57:10.147,4.400008678,2.070290804
05-17-2018 08:59:10.149,4.399988651,2.10248208
05-17-2018 09:01:10.150,4.400052547,2.132915974
05-17-2018 09:03:10.149,4.399982929,2.161693573
05-17-2018 09:05:10.144,4.399968624,2.188907146
05-17-2018 09:07:10.149,4.400034428,2.214624405
05-17-2018 09:09:10.148,4.400008678,2.238942385
05-17-2018 09:11:10.146,4.399980068,2.261959314
05-17-2018 09:12:07.288,4.400066853,2.272482157
05-17-2018 09:14:07.342,4.278033733,2.272486448
05-17-2018 09:16:07.339,4.265598774,2.272486448
05-17-2018 09:17:07.342,4.262470722,2.272486448
05-17-2018 09:19:07.436,3.773605824,2.272486448
05-17-2018 09:21:07.436,3.724005222,2.272486448
05-17-2018 09:23:07.436,3.679640293,2.272486448
05-17-2018 09:25:07.436,3.635211468,2.272486448
05-17-2018 09:27:07.435,3.592463017,2.272486448
05-17-2018 09:29:07.432,3.55258131,2.272486448
05-17-2018 09:31:07.435,3.515739918,2.272486448
05-17-2018 09:33:07.435,3.481939793,2.272486448
05-17-2018 09:35:07.432,3.45034647,2.272486448
05-17-2018 09:37:07.437,3.420349598,2.272486448
05-17-2018 09:39:07.435,3.391945362,2.272486448
05-17-2018 09:41:07.433,3.365274906,2.272486448
05-17-2018 09:43:07.435,3.339513302,2.272486448
05-17-2018 09:45:07.436,3.313865185,2.272486448
05-17-2018 09:47:07.435,3.287437916,2.272486448
05-17-2018 09:49:07.435,3.258982182,2.272486448
05-17-2018 09:51:07.432,3.22791338,2.272486448
05-17-2018 09:53:07.433,3.192634106,2.272486448
05-17-2018 09:55:07.435,3.151378155,2.272486448
05-17-2018 09:57:07.436,3.10137701,2.272486448
05-17-2018 09:59:07.433,3.039357662,2.272486448
05-17-2018 10:00:09.384,2.999976635,2.272486448
05-17-2018 10:02:09.535,3.661973476,2.272486448
05-17-2018 10:04:09.532,3.691463947,2.272486448
05-17-2018 10:05:09.534,3.696623325,2.272486448
05-17-2018 10:07:09.636,4.200022221,0.134401262
05-17-2018 10:08:09.000,4.200053692,0.189852774
05-17-2018 10:10:09.017,4.2285676,0.298260778
05-17-2018 10:12:09.018,4.248888493,0.406922042
05-17-2018 10:14:09.020,4.267311573,0.515549719
05-17-2018 10:14:12.267,4.267893314,0.518459678
05-17-2018 10:44:06.217,4.290421009,0.626844883
05-17-2018 10:46:06.218,4.311955929,0.735525846
05-17-2018 10:48:06.217,4.332912922,0.844195247
05-17-2018 10:50:06.214,4.360274792,0.95276463
05-17-2018 10:52:06.219,4.391983509,1.061528444
05-17-2018 10:54:06.216,4.400008678,1.167016029
05-17-2018 10:56:06.218,4.40003252,1.263383389
05-17-2018 10:58:06.218,4.39998579,1.351586223
05-17-2018 11:00:06.217,4.399962902,1.432695508
05-17-2018 11:02:06.218,4.4000144,1.507777572
05-17-2018 11:04:06.213,4.400013447,1.57752502
05-17-2018 11:06:06.216,4.400036335,1.642699361
05-17-2018 11:08:06.216,4.399982929,1.703824997
05-17-2018 11:10:06.214,4.400008678,1.761281848
05-17-2018 11:12:06.214,4.400047779,1.815336227
05-17-2018 11:14:06.216,4.399988651,1.866246581
05-17-2018 11:16:06.215,4.399983883,1.914263725
05-17-2018 11:18:06.215,4.400005817,1.959533691
05-17-2018 11:20:06.216,4.40005827,2.002226591
05-17-2018 11:22:06.218,4.400052547,2.042477608
05-17-2018 11:24:06.219,4.4000144,2.080408573
05-17-2018 11:26:06.214,4.399963856,2.116145849
05-17-2018 11:28:06.215,4.399970531,2.14982748
05-17-2018 11:30:06.216,4.40002203,2.181560755
05-17-2018 11:32:06.218,4.400024891,2.211479664
05-17-2018 11:34:06.213,4.400030613,2.239676237
05-17-2018 11:36:06.214,4.400017262,2.266257286
05-17-2018 11:38:06.213,4.399981022,2.29133749
05-17-2018 11:40:06.216,4.399987698,2.315006971
05-17-2018 11:41:53.597,4.400036335,2.33506012
05-17-2018 11:43:53.652,4.277541637,2.335060596
05-17-2018 11:45:53.649,4.265129566,2.335060596
05-17-2018 11:46:53.651,4.261879444,2.335060596
05-17-2018 11:48:53.744,3.77012682,2.335060596
05-17-2018 11:50:53.744,3.720585346,2.335060596
05-17-2018 11:52:53.746,3.675848484,2.335060596
05-17-2018 11:54:53.742,3.631202221,2.335060596
05-17-2018 11:56:53.746,3.58772707,2.335060596
05-17-2018 11:58:53.742,3.547723293,2.335060596
05-17-2018 12:00:53.744,3.511254787,2.335060596
05-17-2018 12:02:53.744,3.477035046,2.335060596
05-17-2018 12:04:53.743,3.445392132,2.335060596
05-17-2018 12:06:53.747,3.415725231,2.335060596
05-17-2018 12:08:53.744,3.38779974,2.335060596
05-17-2018 12:10:53.744,3.361062527,2.335060596
05-17-2018 12:12:53.743,3.335387707,2.335060596
05-17-2018 12:14:53.746,3.31028223,2.335060596
05-17-2018 12:16:53.746,3.283960819,2.335060596
05-17-2018 12:18:53.744,3.255758762,2.335060596
05-17-2018 12:20:53.742,3.224213123,2.335060596
05-17-2018 12:22:53.744,3.18876791,2.335060596
05-17-2018 12:24:53.743,3.147526264,2.335060596
05-17-2018 12:26:53.745,3.097798824,2.335060596
05-17-2018 12:28:53.742,3.034853458,2.335060596
05-17-2018 12:29:49.062,2.999993801,2.335060596
05-17-2018 12:31:49.214,3.662065029,2.335060596
05-17-2018 12:33:49.210,3.691809177,2.335060596
05-17-2018 12:34:49.213,3.69696188,2.335060596
05-17-2018 12:36:49.311,4.200006008,0.133916691
05-17-2018 12:37:44.283,4.200024128,0.185191885
05-17-2018 12:39:44.299,4.229027271,0.293625981
05-17-2018 12:41:44.298,4.248817921,0.402284831
05-17-2018 12:43:44.301,4.266936779,0.510955751
05-17-2018 12:45:44.302,4.287849903,0.619632185
05-17-2018 12:47:44.302,4.312763691,0.728302956
